state_code,total_images,crack_count,avg_confidence,no_crack_count,crack_pct,cond_good,cond_fair,cond_poor,state_abbr,state_name
48,1731,866,0.5037,865,50.0,893,816,22,TX,Texas
17,866,431,0.5029,435,49.8,397,389,80,IL,Illinois
39,873,431,0.4987,442,49.4,535,307,31,OH,Ohio
6,818,390,0.4807,428,47.7,392,370,56,CA,California
20,823,388,0.477,435,47.1,468,317,38,KS,Kansas
19,776,379,0.4943,397,48.8,312,304,160,IA,Iowa
40,722,376,0.525,346,52.1,309,364,49,OK,Oklahoma
42,763,370,0.4893,393,48.5,260,403,100,PA,Pennsylvania
29,771,365,0.4771,406,47.3,302,388,81,MO,Missouri
18,636,307,0.487,329,48.3,274,326,36,IN,Indiana
36,558,299,0.5397,259,53.6,195,322,41,NY,New York
37,597,299,0.5034,298,50.1,236,312,49,NC,North Carolina
1,545,293,0.5429,252,53.8,206,321,18,AL,Alabama
47,607,291,0.4849,316,47.9,247,333,27,TN,Tennessee
28,564,265,0.4737,299,47.0,310,218,36,MS,Mississippi
21,461,248,0.5413,213,53.8,94,334,33,KY,Kentucky
31,526,246,0.4729,280,46.8,267,217,42,NE,Nebraska
13,505,245,0.4877,260,48.5,384,106,15,GA,Georgia
55,486,243,0.504,243,50.0,259,194,33,WI,Wisconsin
51,455,223,0.4916,232,49.0,133,304,18,VA,Virginia
22,401,217,0.5428,184,54.1,149,212,40,LA,Louisiana
5,404,212,0.5302,192,52.5,173,214,17,AR,Arkansas
12,412,210,0.5111,202,51.0,241,157,14,FL,Florida
27,431,202,0.4699,229,46.9,247,161,23,MN,Minnesota
26,381,192,0.5107,189,50.4,150,193,38,MI,Michigan
53,276,161,0.5848,115,58.3,144,122,10,WA,Washington
45,297,161,0.5446,136,54.2,120,162,15,SC,South Carolina
41,274,148,0.5417,126,54.0,98,167,9,OR,Oregon
4,292,148,0.511,144,50.7,189,99,4,AZ,Arizona
8,276,137,0.4998,139,49.6,98,167,11,CO,Colorado
34,228,114,0.5044,114,50.0,54,160,14,NJ,New Jersey
54,232,114,0.4954,118,49.1,49,130,53,WV,West Virginia
46,190,90,0.4784,100,47.4,59,95,36,SD,South Dakota
30,166,86,0.5273,80,51.8,52,107,7,MT,Montana
24,159,83,0.5244,76,52.2,54,100,5,MD,Maryland
35,142,78,0.552,64,54.9,46,92,4,NM,New Mexico
9,145,76,0.5306,69,52.4,38,91,16,CT,Connecticut
25,165,76,0.4619,89,46.1,45,107,13,MA,Massachusetts
38,116,67,0.5768,49,57.8,50,54,12,ND,North Dakota
16,152,67,0.4445,85,44.1,46,103,3,ID,Idaho
56,123,55,0.4515,68,44.7,44,76,3,WY,Wyoming
49,98,51,0.5321,47,52.0,25,69,4,UT,Utah
50,97,49,0.507,48,50.5,45,48,4,VT,Vermont
23,76,47,0.6218,29,61.8,21,48,7,ME,Maine
72,72,41,0.5702,31,56.9,10,55,7,PR,Puerto Rico
33,81,35,0.4393,46,43.2,40,29,12,NH,New Hampshire
2,50,30,0.6053,20,60.0,19,27,4,AK,Alaska
32,62,29,0.4686,33,46.8,39,21,2,NV,Nevada
10,43,20,0.469,23,46.5,19,24,0,DE,Delaware
15,35,17,0.4979,18,48.6,10,22,3,HI,Hawaii
44,31,12,0.3919,19,38.7,9,15,7,RI,Rhode Island
11,10,1,0.1172,9,10.0,4,6,0,DC,Dist. of Columbia
